web-scraper-order,web-scraper-start-url,movies,
"1525943565-23320","https://bechdeltest.com/?list=all","High Plains Drifter","null"
"1525943565-21235","https://bechdeltest.com/?list=all","Sympathy for Mr. Vengeance","null"
"1525943565-23475","https://bechdeltest.com/?list=all","Asterix et Cleopatre","null"
"1525943565-18790","https://bechdeltest.com/?list=all","30 Minutes or Less","null"
"1525943565-19932","https://bechdeltest.com/?list=all","The Hurt Locker","null"
"1525943565-22803","https://bechdeltest.com/?list=all","The Transformers: The Movie","null"
"1525943565-24250","https://bechdeltest.com/?list=all","Carefree","null"
"1525943565-20521","https://bechdeltest.com/?list=all","Sherrybaby","null"
"1525943565-19522","https://bechdeltest.com/?list=all","Awaydays","null"
"1525943565-20493","https://bechdeltest.com/?list=all","Peliculas para no dormir: Para entrar a vivir","null"
"1525943565-22364","https://bechdeltest.com/?list=all","Freddie as F.R.O.7.","null"
"1525943565-19958","https://bechdeltest.com/?list=all","Mad Money","null"
"1525943565-23936","https://bechdeltest.com/?list=all","The Cruel Sea","null"
"1525943565-17800","https://bechdeltest.com/?list=all","Get On Up","null"
"1525943565-23555","https://bechdeltest.com/?list=all","Fahrenheit 451","null"
"1525943565-20129","https://bechdeltest.com/?list=all","Cocalero","null"
"1525943565-19242","https://bechdeltest.com/?list=all","Elektra Luxx","null"
"1525943565-24448","https://bechdeltest.com/?list=all","The Lost World","null"
"1525943565-18035","https://bechdeltest.com/?list=all","Wish I Was Here","null"
"1525943565-19550","https://bechdeltest.com/?list=all","Celda 211","null"
"1525943565-21841","https://bechdeltest.com/?list=all","Cinderella","null"
"1525943565-18938","https://bechdeltest.com/?list=all","Hobo with a Shotgun","null"
"1525943565-17975","https://bechdeltest.com/?list=all","Seventh Son","null"
"1525943565-22649","https://bechdeltest.com/?list=all","The Land Before Time","null"
"1525943565-20954","https://bechdeltest.com/?list=all","Angels in America","null"
"1525943565-20282","https://bechdeltest.com/?list=all","Superbad","null"
"1525943565-19219","https://bechdeltest.com/?list=all","Cyrus","null"
"1525943565-16919","https://bechdeltest.com/?list=all","American Made","null"
"1525943565-21419","https://bechdeltest.com/?list=all","Y tu mama tambien","null"
"1525943565-21751","https://bechdeltest.com/?list=all","Madeline","null"
"1525943565-21531","https://bechdeltest.com/?list=all","Santa who?","null"
"1525943565-21000","https://bechdeltest.com/?list=all","High Roller: The Stu Ungar Story","null"
