web-scraper-order,web-scraper-start-url,result-src
"1525943706-25169","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26441","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28742","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28845","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-29310","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-31915","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28670","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26042","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30415","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-27627","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-30060","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25160","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26943","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-28045","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-28618","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30807","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-27858","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26502","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-31657","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29489","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-31381","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-32035","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26294","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29258","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-24814","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-29728","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30806","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25802","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-28452","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-30715","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29923","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26440","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-28622","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25122","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28555","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-29161","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-29821","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-29182","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-27070","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26210","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25216","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28336","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27759","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-28258","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28986","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-32128","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26088","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27495","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28162","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25141","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-31083","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27572","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25800","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29099","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30052","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-31449","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26772","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26523","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30578","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-32039","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-28714","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25011","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26565","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30642","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26489","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26362","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30094","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27742","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30974","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26225","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26252","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28585","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29650","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28353","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-31147","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-29571","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-27097","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-31639","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-30450","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27558","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-29083","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-30359","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26277","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-24818","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27083","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25263","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25205","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26959","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26980","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25377","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28631","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26060","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26008","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26979","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-24970","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30170","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26350","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25116","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-32058","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27953","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26466","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25607","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27328","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-28234","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26391","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-32160","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-31379","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25486","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-31053","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-28122","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-24759","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29677","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26764","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-27430","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25725","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27907","https://bechdeltest.com/?list=all","/static/pass.png"
